Text,rating,sentiment,score
It was okay nothing special,3,neutral,0.8
The order was incorrect,1,negative,0.44
It was okay nothing special,3,neutral,0.8
The product met my expectations,5,positive,0.5
Product was damaged during delivery,1,negative,0.55
Product was damaged during delivery,1,negative,0.55
Highly recommended,5,positive,0.87
I had a bad experience,1,negative,0.43
Product was damaged during delivery,1,negative,0.55
The product met my expectations,5,positive,0.5
Taste was not as expected,2,negative,0.44
Delivery was fine but the product could be better,3,neutral,0.57
The product met my expectations,5,positive,0.5
Highly recommended,5,positive,0.87
Nothing to complain about but nothing exceptional,3,neutral,0.58
Overall good experience thank you,4,positive,0.58
Nothing to complain about but nothing exceptional,3,neutral,0.58
Average experience could improve,3,neutral,0.6
Product was damaged during delivery,1,negative,0.55
Not worth the price I paid,1,negative,0.47
Items were missing from my order,1,negative,0.44
Customer service was not helpful,2,negative,0.4
Overall good experience thank you,4,positive,0.58
It was okay nothing special,3,neutral,0.8
I had a bad experience,1,negative,0.43
Nothing to complain about but nothing exceptional,3,neutral,0.58
The product met my expectations,5,positive,0.5
Delivery was late and I was unhappy,2,negative,0.41
Delivery was fine but the product could be better,3,neutral,0.57
I had a bad experience,1,negative,0.43
The product met my expectations,5,positive,0.5
The product met my expectations,5,positive,0.5
Great prices and fast delivery,5,positive,0.73
Overall good experience thank you,4,positive,0.58
Great prices and fast delivery,5,positive,0.73
Average experience could improve,3,neutral,0.6
The product met my expectations,5,positive,0.5
It was okay nothing special,3,neutral,0.8
Delivery was fine but the product could be better,3,neutral,0.57
Nothing to complain about but nothing exceptional,3,neutral,0.58
The order was incorrect,1,negative,0.44
Average experience could improve,3,neutral,0.6
Nothing to complain about but nothing exceptional,3,neutral,0.58
Delivery was fine but the product could be better,3,neutral,0.57
Nothing to complain about but nothing exceptional,3,neutral,0.58
Excellent quality will buy again,5,positive,0.9
Average experience could improve,3,neutral,0.6
Product was damaged during delivery,1,negative,0.55
Nothing to complain about but nothing exceptional,3,neutral,0.58
Will definitely order again,5,positive,0.52
The packaging was poor,2,negative,0.49
Good selection of products,4,positive,0.52
Delivery was late and I was unhappy,2,negative,0.41
It was okay nothing special,3,neutral,0.8
Overall good experience thank you,4,positive,0.58
It was okay nothing special,3,neutral,0.8
It was okay nothing special,3,neutral,0.8
Excellent quality will buy again,5,positive,0.9
Product was damaged during delivery,1,negative,0.55
The order was incorrect,1,negative,0.44
Delivery was fine but the product could be better,3,neutral,0.57
I had a bad experience,1,negative,0.43
Delivery was late and I was unhappy,2,negative,0.41
Items were missing from my order,1,negative,0.44
Delivery was fine but the product could be better,3,neutral,0.57
It was okay nothing special,3,neutral,0.8
Average experience could improve,3,neutral,0.6
Delivery was fine but the product could be better,3,neutral,0.57
Very disappointed with the quality,2,negative,0.47
Excellent quality will buy again,5,positive,0.9
Customer service was not helpful,2,negative,0.4
Excellent quality will buy again,5,positive,0.9
The product met my expectations,5,positive,0.5
It was okay nothing special,3,neutral,0.8
It was okay nothing special,3,neutral,0.8
The packaging was poor,2,negative,0.49
Overall good experience thank you,4,positive,0.58
The product met my expectations,5,positive,0.5
It was okay nothing special,3,neutral,0.8
Excellent quality will buy again,5,positive,0.9
Delivery was fine but the product could be better,3,neutral,0.57
Excellent quality will buy again,5,positive,0.9
Customer service was not helpful,2,negative,0.4
The packaging was poor,2,negative,0.49
Great prices and fast delivery,5,positive,0.73
The product met my expectations,5,positive,0.5
Highly recommended,5,positive,0.87
The packaging was poor,2,negative,0.49
Nothing to complain about but nothing exceptional,3,neutral,0.58
Great prices and fast delivery,5,positive,0.73
Customer service was very helpful,5,positive,0.54
Overall good experience thank you,4,positive,0.58
The product met my expectations,5,positive,0.5
The product met my expectations,5,positive,0.5
Nothing to complain about but nothing exceptional,3,neutral,0.58
Overall good experience thank you,4,positive,0.58
Good selection of products,4,positive,0.52
Product was damaged during delivery,1,negative,0.55
Overall good experience thank you,4,positive,0.58
Delivery was fine but the product could be better,3,neutral,0.57
Taste was not as expected,2,negative,0.44
Not worth the price I paid,1,negative,0.47
I had a bad experience,1,negative,0.43
Excellent quality will buy again,5,positive,0.9
Customer service was not helpful,2,negative,0.4
Very happy with the service,5,positive,0.65
Nothing to complain about but nothing exceptional,3,neutral,0.58
Very disappointed with the quality,2,negative,0.47
The product met my expectations,5,positive,0.5
Nothing to complain about but nothing exceptional,3,neutral,0.58
The product met my expectations,5,positive,0.5
Average experience could improve,3,neutral,0.6
Overall good experience thank you,4,positive,0.58
Overall good experience thank you,4,positive,0.58
Taste was not as expected,2,negative,0.44
Nothing to complain about but nothing exceptional,3,neutral,0.58
Will definitely order again,5,positive,0.52
Delivery was late and I was unhappy,2,negative,0.41
Items were missing from my order,1,negative,0.44
The product met my expectations,5,positive,0.5
Average experience could improve,3,neutral,0.6
Great prices and fast delivery,5,positive,0.73
Very disappointed with the quality,2,negative,0.47
Delivery was late and I was unhappy,2,negative,0.41
Delivery was fine but the product could be better,3,neutral,0.57
Nothing to complain about but nothing exceptional,3,neutral,0.58
It was okay nothing special,3,neutral,0.8
Average experience could improve,3,neutral,0.6
Customer service was not helpful,2,negative,0.4
The packaging was poor,2,negative,0.49
Very fresh and wellpackaged,5,positive,0.74
The product met my expectations,5,positive,0.5
Customer service was not helpful,2,negative,0.4
Will definitely order again,5,positive,0.52
Average experience could improve,3,neutral,0.6
Customer service was not helpful,2,negative,0.4
I had a bad experience,1,negative,0.43
Items were in perfect condition,5,positive,0.58
The product met my expectations,5,positive,0.5
The packaging was poor,2,negative,0.49
It was okay nothing special,3,neutral,0.8
Great prices and fast delivery,5,positive,0.73
Delivery was fine but the product could be better,3,neutral,0.57
Will definitely order again,5,positive,0.52
Delivery was late and I was unhappy,2,negative,0.41
Nothing to complain about but nothing exceptional,3,neutral,0.58
Delivery was fine but the product could be better,3,neutral,0.57
Overall good experience thank you,4,positive,0.58
Average experience could improve,3,neutral,0.6
Overall good experience thank you,4,positive,0.58
Excellent quality will buy again,5,positive,0.9
Delivery was fine but the product could be better,3,neutral,0.57
The packaging was poor,2,negative,0.49
Delivery was late and I was unhappy,2,negative,0.41
Average experience could improve,3,neutral,0.6
Average experience could improve,3,neutral,0.6
I had a bad experience,1,negative,0.43
Average experience could improve,3,neutral,0.6
Will definitely order again,5,positive,0.52
Overall good experience thank you,4,positive,0.58
Items were in perfect condition,5,positive,0.58
Items were in perfect condition,5,positive,0.58
Delivery was fine but the product could be better,3,neutral,0.57
Very happy with the service,5,positive,0.65
Items were missing from my order,1,negative,0.44
Very fresh and wellpackaged,5,positive,0.74
Not worth the price I paid,1,negative,0.47
The packaging was poor,2,negative,0.49
Delivery was fine but the product could be better,3,neutral,0.57
Delivery was late and I was unhappy,2,negative,0.41
It was okay nothing special,3,neutral,0.8
Delivery was late and I was unhappy,2,negative,0.41
